id_produk,tanggal_produksi,id_produksi,jumlah_produksi
P001,1/18/2024,PRD001,114
P002,7/11/2024,PRD002,56
P003,9/28/2024,PRD003,75
P004,7/9/2024,PRD004,161
P005,1/2/2024,PRD005,80
P006,4/6/2024,PRD006,149
P007,7/27/2024,PRD007,177
P008,7/17/2024,PRD008,192
P009,3/31/2024,PRD009,71
P010,11/13/2024,PRD010,113
P011,2/18/2024,PRD001,85
P012,2/4/2024,PRD002,71
P013,2/23/2024,PRD003,184
P014,11/24/2024,PRD004,114
P015,2/18/2024,PRD005,123
P016,12/21/2024,PRD006,108
P017,1/6/2024,PRD007,142
P018,6/26/2024,PRD008,105
P019,4/23/2024,PRD009,173
P020,6/15/2024,PRD010,173
